website_name;competence_date;country_code;currency_code;brand;category1_code;category2_code;category3_code;product_code;title;itemurl;imageurl;full_price;price;full_price_eur;price_eur;flg_discount
Cettire;2023-11-22;USA;USD;BRUNELLO CUCINELLI KIDS;PANTS;PANTS;PANTS;CMVHY3RPB24VCHJVZHVJDDPZAKDQQ3NUU2NHZ1BRQKPHEA==;Brunello Cucinelli Kids Belted Waist Straight Leg Trousers;https://www.cettire.com/products/brunello-cucinelli-kids-belted-waist-straight-leg-trousers-917509366;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/ebe5563981fe85465397e89ef65d8db2.jpg;432.28;352.74;394.77;322.13;1
Cettire;2023-11-22;USA;USD;DSQUARED2;SHIRTS;SHIRTS;SHIRTS;CMVHY3RPB24VCHJVZHVJDDPFZMLOR0S2YLBIQZD3DMRYNQ==;Dsquared2 Logo Printed Collared Long-Sleeved Shirt;https://www.cettire.com/products/dsquared2-logo-printed-long-sleeved-straight-hem-shirt-929760251;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/d5dbba456e0de06e84669849f3cabae2.jpg;562.99;332.27;514.14;303.44;1
Cettire;2023-11-22;USA;USD;COMMON PROJECTS;SNEAKERS;SNEAKERS;SNEAKERS;CMVHY3RPB24VCHJVZHVJDDPNWJZOSKTDR2LEWXZFD2DYRQ==;Common Projects Achilles Contrast Sole Sneakers;https://www.cettire.com/products/common-projects-achilles-contrast-sole-sneakers-929447837;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/da3b2218a71bda75b6a5ed6b1703bb82.jpg;477.78;298.89;436.32;272.95;1
Cettire;2023-11-22;USA;USD;THOM BROWNE;LAPTOP BAGS AND BRIEFCASES;LAPTOP BAGS AND BRIEFCASES;LAPTOP BAGS AND BRIEFCASES;CMVHY3RPB24VCHJVZHVJDDP1B21QSGK4S3LGRFDETE10VW==;Thom Browne Logo Detailed Laptop Bag;https://www.cettire.com/products/thom-browne-logo-detailed-laptop-bag-932661231;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/690bf873c8b95248caf92c6dee1cc22d.jpg;2115.89;1373.59;1932.31;1254.42;1
Cettire;2023-11-22;USA;USD;BOTTEGA VENETA;T-SHIRTS AND VESTS;T-SHIRTS AND VESTS;T-SHIRTS AND VESTS;CMVHY3RPB24VCHJVZHVJDDPHNFE4N0VIUMJKTFI2ZNA2OQ==;Bottega Veneta Double Layer Striped Crewneck T-Shirt;https://www.cettire.com/products/bottega-veneta-double-layer-striped-crewneck-t-shirt-928333974;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/b9f30e06f11ea902c4581cbb25f28304.jpg;483.24;483.24;441.31;441.31;0
Cettire;2023-11-22;USA;USD;GUCCI EYEWEAR;SUNGLASSES;SUNGLASSES;SUNGLASSES;CMVHY3RPB24VCHJVZHVJDDPRUKDTAKZGA1IZDMN4Q3HKOA==;Gucci Eyewear Oversized Studded Sunglasses;https://www.cettire.com/products/gucci-eyewear-oversized-studded-sunglasses-922146221;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/62a4aadfb9d29cf8f8fb32ddb6619d17.jpg;921.44;884.58;841.49;807.83;1
Cettire;2023-11-22;USA;USD;VALENTINO;SHOULDER BAGS;SHOULDER BAGS;SHOULDER BAGS;CMVHY3RPB24VCHJVZHVJDDP1R2VRCW42D0TRWGTONWY5YQ==;Valentino Garavani Rockstud Foldover Top Shoulder Bag;https://www.cettire.com/products/valentino-garavani-rockstud-foldover-top-shoulder-bag-929535125;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/84fc0dedb43ef7eb929931b386a1c392.jpg;1592.61;1428.43;1454.43;1304.50;1
Cettire;2023-11-22;USA;USD;VALENTINO;JACKETS;JACKETS;JACKETS;CMVHY3RPB24VCHJVZHVJDDP2YW9OEHDLZFRFTWPEYK1DOA==;Valentino	Crepe Couture Long-Sleeved Blazer;https://www.cettire.com/products/valentino-crepe-couture-long-sleeved-blazer-931803249;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/855387022ef37948334a613c99efb7fc.jpg;3071.45;2064.02;2804.97;1884.94;1
Cettire;2023-11-22;USA;USD;DOLCE & GABBANA;SWEATERS;SWEATERS;SWEATERS;CMVHY3RPB24VCHJVZHVJDDPAEK1ENZJGCXYYBLJTNUHOUA==;Dolce & Gabbana Logo-Printed Crewneck Sweatshirt;https://www.cettire.com/products/dolce-gabbana-logo-printed-crewneck-sweatshirt-921084105;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/10b71ca6497dab2abf568bafd863b974.jpg;739.42;532.39;675.26;486.20;1
Cettire;2023-11-22;USA;USD;TOM FORD EYEWEAR;SUNGLASSES;SUNGLASSES;SUNGLASSES;CMVHY3RPB24VCHJVZHVJDDPIDJLNWTHMCUZ3SEJJOEZNRQ==;Tom Ford Eyewear Rectangular Frame Sunglasses;https://www.cettire.com/products/tom-ford-eyewear-rectangle-framed-sunglasses-923324049;https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/88da2e7f745c3481a6a6856abd3285bf.jpg;352.65;236.98;322.05;216.42;1
